DATE,DOGE,TWEETS (Paste them here)
01/08/21,1,Neuralink company bar 2. Starbase is moving at Wrap 9
02/08/21,1,Raptors on SUper Heavy 2. Installing Starship booster engines for first orbital flight
03/08/21,1,Super heavy booster moving to orbital launch mount
04/08/21,1,All 6 engines mounted to first orbital Starship
05/08/21,1,"If you're curious about Tesla, SpaceX & my general goings on, @Walterlsaacson is writing a biography 2. Moving rocket to orbital launch pad 3. Mechazilla will do this for future rockets, but it's not quite ready yet"
06/08/21,1,Starship Fully Stacked 2. An honor to work with such a great team 3. Minus the lifts 4. Aiming to stack ship on booster today 5. Winds are too high today. Looks like wind speed will be low enough to stack early tomorrow morning.
07/08/21,0,
08/08/21,0,
09/08/21,0,
10/08/21,0,
11/08/21,0,
12/08/21,0,
13/08/21,1,"Giga Berlin-Brandenburg country fair & factory tour on 9 october! 2.Priority for residents of Bradenburg & Berlin, but also open to general public"
14/08/21,1,Mad respect for the makers
15/08/21,0,
16/08/21,0,
17/08/21,0,
18/08/21,0,
19/08/21,0,
20/08/21,1,On Now
21/08/21,1,Do they even know about the delta variant!?
22/08/21,0,
23/08/21,0,
24/08/21,1,100k terminals shipped! 2.our license applications are pending in many more countries. Hoping to serve Earth soon! 3. The Guns of August 4. Nine rings for mortal men
25/08/21,0,
26/08/21,0,
27/08/21,0,
28/08/21,0,
29/08/21,1,Falcon about to launch Dragon to @space_station 2. Flying over Starbase
30/08/21,1,"Space X will try to catch largest ever flying object with robot chopsticks. Success is not guaranteed, but excitment is! 2.Stage Zero"
31/08/21,1,"The dark side of OnlyFans ... 2. Time to stop projecting and cool off 3. No worries, situation is under control"
01/09/21,0,
02/09/21,1,"FSD Beta 10 rolls out midnight Friday next week 2. Looks promising that Beta 10.1, about 2 weeks later, will be good enough for public opt in request button"
03/09/21,2,Time is the ultimate currency
04/09/21,0,
05/09/21,0,
06/09/21,0,
07/09/21,0,
08/09/21,0,
09/09/21,0,
10/09/21,1,"Metallurgy Rulz 2. POV Hardcore 3. Tesla Model S Plaid just set official world speed record for a production electric car Nurburgring. completely unmodified, direclty from factory. 4. Next will be modified Plaid with added aero surfaces, carbon rakes & track tires(all things that can be done without Tesla being in the lopp)"
11/09/21,0,
12/09/21,0,
13/09/21,1,"Emojilution 2. Nicheman(power of appealing to niche audiences) strikes again hahaha 3. Whether it's stamp collections in Andorra or petticoat aficionados in Lichtenstein, none can resist! 4. Gravitas 5. Floki has arrived"
14/09/21,0,
15/09/21,1,Watch Countdown on Netflix about Inspiration4 mission launching today
16/09/21,1,
17/09/21,1,"Please add your voice to the public comments. Support is greatly appreciated! Humanity's future on the moon, Mars & Beyond depends upon it. 2. Good feedback from FSD Beta 10 users ! 10.0.1 point release rolling out now. 10.1 rolls out a week from fridy with beta request button. 3. Just spoke with @inspiration4x crew. All is well."
18/09/21,1,"Moving at ~ 23 times speed of sound, circling Earth every ~90 minutes"
19/09/21,1,Congratulations @Inspiration4x 
20/09/21,0,
21/09/21,1,Just met with the @Inspirstion4x crew in Florida to congratulate them in person. Such great people!
22/09/21,0,
23/09/21,0,
24/09/21,0,
25/09/21,1,"FSD Beta request button goes live tonight, but FSD 10.1 needs another 24 hours of testing, so out tomorrow night"
26/09/21,0,
27/09/21,0,
28/09/21,1,"Wow, lot of interest in FSD beta! Plan is to roll out version 10.2 midnight Friday, then on-ramp~1000owners/day, prioritized by safety rating. 2. Apologies, 10.2 release will be a week from Friday"
29/09/21,0,
30/09/21,0,
01/10/21,1,"with tesla.com./solarroof & Powerwal battery you are own utility. 24/7 clean, sustainable electricity."
02/10/21,1,Ans thanks very much to our suppliers & logistics partners for coming through despite great difficulties! 2 Congrats Tesla team! 3. This is real btw
03/10/21,1,"Walk this way ... no, *this* way ... 2. Amazing show about @inspiration4x mission !"
04/10/21,1,Floki Frunkpuppy
05/10/21,0,
06/10/21,0,
07/10/21,1,"FSD Beta 10.2 rolls out friday midnight to ~ 1000 owners with perfect 100/100 safety scores. Rollouts will hold for several days after that to see how it goes. If that looks good, beta will gradually begin rolling out to 99scores & below. 2. Definitely further refinements coming to(early beta) safety test score. It will be refined continuously until it is an extremely good predictor of crash probability. exciting actuarial problem! 3. Starlink is designed for low to medium population density, which means we can hit max users in some areas fast."
08/10/21,1,"Please consider joining Tesla AI software or hardware teams! 2. Sorry if we've been too dumb to respond to you. Please cite evidence of exceptional ability in a few bullet points. Nothing else matters. 3. If you'd liek to join Tesla AI, but can't easily move to Palo Alto or Austin, that is acceptable for extremely excellent candidates where inefficency of distance is overcoem by talent."
09/10/21,1,A few lastmin concerns about this build. Release liekly on Sunday or Monday. Sorry for the delay. 2. Giga berlin-Brandenburg Spa beta- party heute!
10/10/21,0,
11/10/21,1,Beta 10.2 now rolling out to cars with 100/100 safety score over 100 miles.
12/10/21,1,Starship Launch Site
13/10/21,0,
14/10/21,1,can't wait to be in Genshin Impact 
15/10/21,1,Beta 10.3 releasing Friday next week to all cars with 99/100 safety score
16/10/21,0,
17/10/21,1,"ThanksCameron Country, Brownsville & South padre for your support! Much appreciated"
18/10/21,1,I've thought about and  ... I'm not sorry for party rocking
19/10/21,0,
20/10/21,0,
21/10/21,0,
22/10/21,1,Starbase under construction
23/10/21,1,"Regression in some left turn at traffic lights found by internal QA in 10.3. Fix in work, probably releasing tomorrow. 2. Your support maes a big difference! Please let the FAA know your opinion."
24/10/21,0,
25/10/21,1,"Seeing some issues with 10.3, so rolling bact to 10.2 temporarily. Please note, this is to be expected with beta software. It is impossible to test all hardware configs in all conditions with internal QA, hence public beta. 2. 10.3.1 rolling out now. 3. What if ur name is Johnson & u just happen to work at Johnson & Johnson? 4. Macrohard>>Microsoft 5. Althoug Teams is pretty good 6.erotic democracy>>sclerotic democracy 7. pop music has both literal & figurative stockholm Syndrome"
26/10/21,1,Wild $T1mes!
27/10/21,0,
28/10/21,0,
29/10/21,1,AM thinking of starting new university:Texas Institute of Technology & Science. 2. It will have epic merch. 3. Universally admired 
30/10/21,0,
31/10/21,2,Tuition is in Dogecoin & u get a discount if u have a dog
01/11/21,1,Trial program for opening Tesla Superchanrgers to others Evs has begun
02/11/21,1,Humankind
03/11/21,1,"Yup,even the moon "
04/11/21,1,And Mars
05/11/21,0,
06/11/21,0,
07/11/21,1,"Much is made lately of unrealized gains being a means of tax avoidance , so I propose selling 10% of my Tesla stock. 2. I will abide by the rsults of this poll, whichever way it goes 3. Note I don't take cash salary or bonus from anywhere. I only have stock, thus the only way for me to pay taxes personally is to sell stock."
08/11/21,0,
09/11/21,1,I have all their albums 2. Sometimes they're little 2-dimensional
10/11/21,0,
11/11/21,0,
12/11/21,0,
13/11/21,1,129 orbital flights
14/11/21,0,
15/11/21,1,Due to inflation 420 has gone up by 69
16/11/21,0,
17/11/21,1,12 million pounds of thrust at liftoff
18/11/21,1,"""We are choked with news and starved of history"" - Durant 2. it is hard to find good source of relatively objective news these days. Any suggestions? 3. Talked about starship with national Academics Space Studies Board 4. My comments starts at 6:49 mark"
19/11/21,1,Dont want to brag but ... I'm the best at humility
20/11/21,1,A simpler time it was
21/11/21,0,
22/11/21,1,Atleast 50% of my tweets were made on a porcelain throne.2. it  gives me solace 3.Model S Plaid is sickkk!!!! 4. I aspire to comedy 
23/11/21,0,
24/11/21,1,About the launch asteriod defencse test!
25/11/21,1,Avenge the dinosaurs!!
26/11/21,1,Happy Thanksgiving to all! Hope you have a great day. Your support over the years is super appreciated
27/11/21,0,
28/11/21,0,
29/11/21,0,
30/11/21,1,I love a great whine 2. Splish Splash 
01/12/21,1,"Doesn't even need maintenance - just works! 2. The sun is absurdly, overwhelmingly the source of energy in our solar system 3.DOnt waste your money on that silly Apple cloth, buy our whistke instead! 4.Just dropping some friends off at the pool, 5. Friends&pools are great 6.Blow the whistle on tesla!"
02/12/21,1,"Let's set and age limit after which you can't run for political office, perhaps a number just below 70 ..."
03/12/21,1,"Construction of Starship orital launch pad of the cape has begun. 2. Laws are on one side, poets on the other"
04/12/21,1,We will soon make these real. 2.Starships to Mars
05/12/21,0,
06/12/21,1,"As always, Tesla is looking for hardcore AI engineers who care about solving problems that directly affect people's lives in a major way."
07/12/21,1,"A background in ""AI"" is not needed, just exceptional skill in softaware or computer design"
08/12/21,0,
09/12/21,1,"1. Nothing is more permanent than a ""temporary government program"" 2.There is a lot of accounting trickery in this bill that isn't being disclosed to the public 3.If ""temporary"" provisions in the Build Back Better Act become permanent, US national debt will increase by 24%! 4.Unless sysceptible to extreme natural disasters, nuclear power plants should not be shut down. 5.All systems ans weather are looking good ahead to tonight's launch of IXPE for@NASA 6.More photos from lasr night's Falcon 9launch of @NASA's IXPE mission to better understand black holes, neutron stars, and other aspects of out universe."
10/12/21,1,Mars&Cars 2. Wow only 3weeks to 2022! What will 2032will be like? Seems so futuristic! Will we be on Mars?3. thinking of quitting my job & becoming an influencer full-time wdyt hahah ... ?1
11/12/21,0,
12/12/21,1,"Just did a @HardcoreHistory episode with Dan Carlin. Hope you like it. 2. ""No better friend, no worse enemy"" "
13/12/21,0,
14/12/21,1,"Tesla will make some merch buyable with doge & see how it goes, 2. SpaceX is starting a program to take CO2 out of atmosphere & turn it into rocket fuel. Please join if interested,3. will also be important for mars."
15/12/21,0,
16/12/21,1,Highlt recommend all of @HardcoreHistory
17/12/21,1,Old school shell game
18/12/21,1,"watch falcon 9 launch 52 starlink satellites to orbit, 2.Silco & jinx headline Coachella? 3. Tesla FSD 10.8 plus holiday fun software release probablt Tuesday 4.Starship Super Heavy engine steering test. 5. Each raptor 1engine above produces 185 metric tons of force. Raptor 2just started production & will do 230+ tons or over half a million pounds of force."
19/12/21,1,"two falcons 9 launches completes in ~ 15 hours, 2. Traceroute woke_mind_virus"
20/12/21,1,"For those wondering, I will pay over $11 billion in taxes this year, 2.Given the almost unimaginable nature of the present, What will the future be?, 3. I am not suggesting web3 is real -  seems more marketing buzzword than reality right now - just wondering what the future will be luke in 10,20, and 30 year. 2051 sounds craxy futuristic! 4. looks like twitter is compressing the image"
21/12/21,1,"100th SpaceX rocket landing was today, Has anyone seen web3? I can’t find it., 🤣🤣 True. Ask your airline for Starlink!"
22/12/21,0,
23/12/21,1,"Tesla holiday software release being tested with internal owners today. Broader rollout starts tomorrow evening., ots of Tesla cars to deliver before year end! Your support in taking delivery is much appreciated. 

Thanks also to the Tesla team working hard during the holidays!, Whereas radar has trouble seeing small pedestrians, they’re obvious to Tesla vision 
@SkepticsGuide
 book is 👍"
24/12/21,1,"Complete list of features here. Happy holidays! →, Tesla holiday software update goes to wide release today!, 10.8 looks good, rolling out today"
25/12/21,1,Interesting
26/12/21,1,"Floki Santa, Merry Christmas 🎄🎁 ⛄️ ⭐️ 😃"
27/12/21,1,"So much of AI is about compressing reality to a small vector space, like a video game in reverse, Physics formulas are the rendering rules"
28/12/21,0,
29/12/21,1,"Lex asks great questions,Here's my conversation with @elonmusk. His 3rd time on the podcast. This one was epic.

Elon and the amazing SpaceX and Tesla teams have inspired the world, in a time when it is needed most.

Thank you for giving people hope about the future.

Video: https://youtube.com/watch?v=DxREm3s1scA"
30/12/21,0,
31/12/21,0,
01/01/22,0,
01/02/22,1,Let's make the roaring 20's happen! 2.Great work by Tesla team worldwide
01/03/22,0,
01/04/22,1,Raptor 2 now operates routinely at 300 bar main chamber pressure
01/05/22,0,
01/06/22,1,nice 
01/07/22,1,"Starlinks with ""lasers"" depolyed to orbit"
01/08/22,1,Tesla FSD price rising to $12k on Jan 17 2.Just in the US 3.FSD price will rise as we get closer to FSD production code release
01/09/22,0,
01/10/22,1,Starship launch & catch tower
01/11/22,0,
01/12/22,1,Bizarre anti-environment move by govt of California
01/13/22,0,
01/14/22,2,Tesla merch buyable with Dogecoin
01/15/22,1,Top
01/16/22,1,So infromative 2.1469 Starlink satellites active 272 moving to operational orbits Laser links activate soon
01/17/22,1,Good thing I never tweet anything controversial 2. It is heartening to see the rise of individualist vs corportate media 
01/18/22,1,"We should be much more worried about population collapse 2.UN projections are utter nonsense. Just multiply last year's births by life expectancy. Given downward trend in birth rate, that is best case unless reversed. 3.If there aren'tenough people for Earth, then there definitely won't be enough for Mars"
01/19/22,1,"Tesla AI might play a role in AGI, given that it trains against the outside world, especially with the advent of Optimus 2.Believe in the future! 3.Back to the moon soon."
01/20/22,1,Maybe something like this 2.Frank & Beans
01/21/22,1,This is annoying 2.Twitter is spending engineering resources on this bs while crypto scammers are throwing a spambot block party in every thread!?
01/22/22,0,
01/23/22,0,
01/24/22,0,
01/25/22,2,I will eat a happy meal on tv if @McDonalds accepts Dogecoin
01/26/22,1,Been driving latest Cybertruck prototype around Giga Texas. It's awesome!
01/27/22,1,Je m'aple syrup
01/28/22,1,"Disney in the streets, Euphoria in the sheets 2. And in the darkness bind them 3. If you scare people enough, they will demand removal of freedom. This is the path to tyranny.4. Seems odd that the UN still hasn't released 2020 world death rates 5. Canadian truckers rule 6.CB radios are free from govt/media control "
01/29/22,1,Lie back and think of Mars 2. The Universe is a Hydrogen Sonata
01/30/22,1,Just rewatched True Romance 
01/31/22,1,"Halo Infinite campaign is good. 2. For reasons unknown @potus is unable to say the word ""Tesla"" 3. So many Hitlers!"
02/01/22,1,Denmark just ended Covid restrictions
02/02/22,1,"This is twice the area of our standard phased array with broader scan angle 2. Starlink high performance antenna 3. Exciting progress at Starbase, Texas! 4. Space X standard antenna production rises rapidly this year, so those with orders shouldn't have to wait long. Note, Starlink can only support a limited number of users in an area, so best to order early."
02/03/22,0,
02/04/22,1,"Congrats Space X Falcon team! 2.If things go well, Falcon will launch about once a week on average in 2022, deliverying ~2/3 of all Earth payload to orbit"
02/05/22,0,
02/06/22,1,Extended tracking shot of Falcon9 2.Tesla Model S&X plaid are so fun! 3.[Satire] 4.Thank you for smoking 
02/07/22,1,Always look on the bright side of life 2. So ... it's finally come to this ... 
